id_offre,titre,entreprise,source,Competence
3302,Responsable Actuariat H/F Levallois-Perret (H/F),HEYME,France Travail,Python
3303,DEVELOPPEUR FULLSTACK (H/F),,France Travail,Python
3305,RESPONSABLE PROJETS DATA/ETL/CRM DSI - MIDDLEWARE (H/F),GESTIMAT,France Travail,Python
3314,Ingénieur en IA/ machine learning en océanographie (H/F),INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT,France Travail,Python
3320,Tech Lead IA - Défense & Sécurité - Le Plessis-Robinson (H/F),,France Travail,Python
3323,Alternance Technicien / Ingénieur en Intelligence Artificielle - Béziers (H/F),ISCOD,France Travail,Python
3326,Architecte Data (H/F),,France Travail,Python
3327,Analyste programmeur (m/f) (réf. E) (réf. F) (réf. M) (H/F),,France Travail,Python
3336,Lead data (H/F),AMILTONE,France Travail,Python
3343,MANAGER SUP SIMULATIONS ET MODELES H/F,,France Travail,Python
3346,ARCHITECTE LOGICIEL - H/F,CLS,France Travail,Python
3348,Alternance* - Assistant Chef de Projet (H/F),Studi,France Travail,Python
3352,Développeur de Code Systèmes pour Stellarator H/F,,France Travail,Python
3357,Enseignant-chercheur / Enseignante-chercheuse (H/F),,France Travail,Python
3359,Développeur / Développeuse web h/f,,France Travail,Python
3365,Développeur Java Python (H/F),Act Digital France,France Travail,Python
3366,Chef de projet IA Senior (H/F),KLANIK,France Travail,Python
3367,Ingénieur Full Stack F/H (H/F),FAB Group,France Travail,Python
3370,Consultant / Consultante green IT h/f,,France Travail,Python
3371,Consultant / Consultante green IT h/f,,France Travail,Python
3372,Consultant / Consultante informatique h/f,,France Travail,Python
3380,Coordinateur / Coordinatrice de projet digital (H/F),InovaYa,France Travail,Python
3381,CDI - Senior Analytics Expert H/F,,France Travail,Python
3382,Ia ops -f/h- (H/F),,France Travail,Python
3389,"POST-DOCTORANT.E EN BIOSTATISTIQUES, ÉPIDÉMIOLOGIE, MATHÉMATIQUES APPLIQUÉS - H/F",Inserm,France Travail,Python
3394,Alternance Développeur Intelligence Artificielle - Lezennes (H/F),ISCOD,France Travail,Python
3396,Développeur intelligence artificielle (H/F),,France Travail,Python
3397,Chargé d’études et de production statistique (m/f) (réf. E) (réf. F) (réf. M) (H/F),,France Travail,Python
3400,Chef de Projet SEO et Data Intelligence (H/F),Construire Le Figaro,France Travail,Python
3414,"Ingénieur Data & AI F/H - Système, réseaux, données (H/F)",LEA Linking Executive Associates,France Travail,Python
3416,Business Analyst - Solutions IA (H/F),EURO-INFORMATION DEVELOPPEMENTS,France Travail,Python
3425,Chef de projet décisionnel - Expert BI & Cloud (H/F/NB),Trimane,France Travail,Python
3436,Chef de projet informatique - Solutions IA pour la relation client (H/F),EURO-INFORMATION DEVELOPPEMENTS,France Travail,Python
3439,INGÉNIEUR TRAITEMENT DU SIGNAL EEG ET IA - H/F,Inserm,France Travail,Python
3441,Développeur Expert Python Générative AI (H/F),BK CONSULTING,France Travail,Python
3443,Senior planner h/f,,France Travail,Python
3446,Consultant Senior - Ingénieur IA H/F,Talan,France Travail,Python
3448,DCS GROUP - Administrateur / Administratrice informatique (H/F),DCS GROUP,France Travail,Python
3451,Ingénieur financier / Ingénieure financière (H/F),,France Travail,Python
3453,Ingénieur en traitement de données (H/F),,France Travail,Python
3459,Développeur Python – DeepTech SaaS H/F,Externatic,France Travail,Python
3466,Senior planner h/f,,France Travail,Python
3467,Développeur web (H/F),,France Travail,Python
3469,CHEF DE PROJETS DATA (F/H) (H/F),,France Travail,Python
3474,[Offre interne] Ingénieur-MLOps & DevOps (H/F),,France Travail,Python
3476,Ingénieur(e) DevOps Kubernetes / Openshift AI - Aix en Provence (H/F),,France Travail,Python
3479,Architecte Data (H/F),,France Travail,Python
3491,Ingénieur Développement BI expérimenté - H/F (H/F),AK RECRUTEMENT,France Travail,Python
3503,Consultant business intelligence (H/F),,France Travail,Python
3540,INGÉNIEUR DÉVELOPPEMENT BI - H/F,Groupe GP,France Travail,Python
3556,Développeur BI (H/F),,France Travail,Python
3570,Consultant Big Data (H/F),,France Travail,Python
3575,Consultant Analytics & IA Transverse DCoE - France (H/F),,France Travail,Python
3577,Ingénieur en Intelligence Artificielle F/H - MV GROUP,MV GROUP,France Travail,Python
3578,Développeur.euse Python (H/F),,France Travail,Python
3590,Ingénieur / Ingénieure en Intelligence Artificielle (IA) (H/F),ECO-TECH CERAM,France Travail,Python
3596,Ingénieur en Intelligence Artificielle / Infrastructure / Système (H/F),T.I.B - A.M.D.T.,France Travail,Python
3598,Expert(e) Technique Microsoft 365 & Copilot (H/F),BASSETTI GROUP,France Travail,Python
3607,INGENIEUR DEVOPS PLATEFORME IA (H/F),INFORMATIS TECHNOLOGY SYSTM,France Travail,Python
3612,Ingénieur / Ingénieure logiciel (H/F),DIOXYCLE,France Travail,Python
3622,Expert intelligence artificielle (H/F),,France Travail,Python
3624,Ingénieur en Développement Digital et Intelligence Artificielle (H/F),,France Travail,Python
3628,Ingénieur/e en Intelligence Artificielle - Edition de logiciels - Île de France (H/F),,France Travail,Python
3637,Lead AI Engineer (F/H) - MASSY (H/F),,France Travail,Python
3638,Alternance Ingénieur IA - Rueil-Malmaison (F/H) (H/F),,France Travail,Python
3639,Développeur IA (H/F),Forums Talents Handicap,France Travail,Python
3645,Alternance Développeur IA H/F - Villennes-sur-Seine (F/H),,France Travail,Python
3650,Tech Lead ML Engineer H/F,,France Travail,Python
3658,Développeur / Développeuse IA (H/F),Entreprise Alex,France Travail,Python
3669,Développeuse / Développeur en IA (H/F),Forums Talents Handicap,France Travail,Python
3674,Developpeur IA / Génération IA - Java & Python (H/F),,France Travail,Python
3675,Alternance Développeur IA H/F - Villennes-sur-Seine (F/H),,France Travail,Python
3681,Ingénieur / Ingénieure développement logiciel informatique (H/F),Thales Services Numériques Sas,France Travail,Python
3682,Ingénieur IVV logiciel - 5 ans d'exp (H/F),OneSide Technologies,France Travail,Python
3688,Architecte logiciel (H/F),,France Travail,Python
3696,Ingénieur / Ingénieure développement logiciel informatique (H/F),Thales Services Numériques Sas,France Travail,Python
3703,Ingénieur Architecte Logiciel (H/F),,France Travail,Python
3704,Stagiaire - Forward Deployed Software Engineer -2026 - H/F,,France Travail,Python
3706,Ingénieur en Ingénierie logicielle (H/F),Université de Lille,France Travail,Python
3716,Ingénieur Développement Logiciel - LabWindows CVI/TestStand F/H,ADENEO,France Travail,Python
3722,Technicien/ Analyste paramétrage de logiciel & SQL - TAF (H/F),MENUISERIES COMBES,France Travail,Python
3737,Expert QA - Logiciel Industriel (H/F),AK RECRUTEMENT,France Travail,Python
3747,Ingénieur Système et Logiciel (H/F),GORGY TIME,France Travail,Python
3754,Ingénieur Logiciel / Modélisation - Systèmes Temps Réel Critiques (H/F),ASTC,France Travail,Python
3771,Ingénieur Logiciel - Développement Algorithmique (FPGA) (H/F),NANOXPLORE,France Travail,Python
3774,Ingénieur Logiciel Senior - Développement Algorithmique (FPGA) (H/F),NANOXPLORE,France Travail,Python
3775,Ingénieur Logiciel - Outils d'architecture (FPGA) (H/F),NANOXPLORE,France Travail,Python
3778,Concepteur et Développeur logiciel Python (2025-12) (H/F),CLOUD DATA ENGINE,France Travail,Python
3790,Ingénieur Validation de développement logiciel H/F,,France Travail,Python
3792,Ingénieur(e) Logiciel H/F,,France Travail,Python
3817,Ingénieur logiciel JAVA (H/F),,France Travail,Python
3824,Ingénieur en Logiciel de Cockpit Numérique Intelligente (H/F),ACCA,France Travail,Python
3825,Ingénieur de développement logiciel embarqué (H/F),,France Travail,Python
3827,Analyste développeur logiciel JAVA (H/F),,France Travail,Python
3836,Ingénieur logiciel RF F/H - Unseenlabs,Unseenlabs,France Travail,Python
3837,Ingénieur Logiciel Embarqué & IoT (H/F),Médiane Système,France Travail,Python
3841,"Ingénieur support logiciel F/H - Exploitation, maintenance informatique (H/F)",FAB GROUP,France Travail,Python
3852,Alternance Développeur logiciel - Lille (F/H) (H/F),,France Travail,Python
3854,Ingénieur de développement logiciel sur équipements électroniques embarqués (f/h),,France Travail,Python
5,Data Scientist F/H,PMU,APEC,SQL
14,DATA SCIENTIST - F/H,Banque de France,APEC,SQL
19,DATA ANALYST/SCIENTIST F/H,LINEUP7,APEC,SQL
23,Data Scientist F/H,GROUPE ATLANTIC SYNERGY - Société en Nom Collectif,APEC,SQL
27,Product Manager Data Scientist F/H,Bluecoders,APEC,SQL
30,Data Scientist F/H,cadremploi,APEC,SQL
37,Data scientist - F/H,cadremploi,APEC,SQL
