titre,entreprise,contrat,localisation,salaire,description,lien,date_scraping,source,mot_cle_recherche,id_apec
Data engineer confirme F/H,Handicap-Job.com,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178024070W,2026-02-10,APEC,Data Scientist,178024070W
ML Engineer – Tri automatique des bennes de chantier F/H,Welcome to the Jungle,,,50 - 55 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178053551W,2026-02-10,APEC,Data Scientist,178053551W
Ingénieur Data Analyst Senior - Domaine Aéronautique F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178030888W,2026-02-10,APEC,Data Scientist,178030888W
Ingénieur Big Data Senior - Femme - Homme F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178061518W,2026-02-10,APEC,Data Scientist,178061518W
Tech Lead Data Engineer GCP - Paris F/H,Handicap-Job.com,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178024373W,2026-02-10,APEC,Data Scientist,178024373W
Ingénieur IA F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178029746W,2026-02-10,APEC,Data Scientist,178029746W
Ingénieur-e DataScientist - Statisticien-ne F/H,Safran Aircraft Engines,,,40 - 80 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178058264W,2026-02-10,APEC,Data Scientist,178058264W
Développeur Android confirmé (secteur santé) F/H,Externatic,,,A partir de 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178035410W,2026-02-10,APEC,Data Scientist,178035410W
Chef.fe de projet « Lac de données » F/H,INA,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177933133W,2026-02-10,APEC,Data Scientist,177933133W
Responsable du service aide au pilotage F/H,SORBONNE UNIVERSITE,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178091919W,2026-02-10,APEC,Data Scientist,178091919W
Ingénieur-e DataScientist - Statisticien-ne F/H,Aérocontact,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177982499W,2026-02-10,APEC,Data Scientist,177982499W
Manager cybersecurite & confiance numerique - F/H,Handicap-Job.com,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178024566W,2026-02-10,APEC,Data Scientist,178024566W
Data Architecte F/H,AMITA,,,A partir de 70 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178049839W,2026-02-10,APEC,Data Scientist,178049839W
Data Engineer Expert F/H,STACKWAZE,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178040153W,2026-02-10,APEC,Data Scientist,178040153W
Chef de projet DATA F/H,EPSYL,,,32 - 48 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177833933W,2026-02-10,APEC,Data Scientist,177833933W
Chef de projet Data F/H,KLANIK,,,50 - 55 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178022525W,2026-02-10,APEC,Data Scientist,178022525W
Lead Data Engineer - HealthTech / IA F/H,Les Colettes Sourcing,,,A partir de 75 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178107623W,2026-02-10,APEC,Data Scientist,178107623W
S.K un Architecte fonctionnel - Domaine Data F/H,ETHNOL CONSULTING,,,A partir de 40 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177985319W,2026-02-10,APEC,Data Scientist,177985319W
Data Steward F/H,SKIILS,,,40 - 70 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178090419W,2026-02-10,APEC,Data Scientist,178090419W
Data Engineer @ groupe international - F/H,Externatic,,,A partir de 45 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177963801W,2026-02-10,APEC,Data Scientist,177963801W
Tech Lead Data Engineer MLOps AWS F/H,Safran Aircraft Engines,,,40 - 80 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177992669W,2026-02-10,APEC,Data Scientist,177992669W
Data Engineer - Snowflake F/H,"ECONOCOM APPS, CLOUD & DATA",,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178082178W,2026-02-10,APEC,Data Scientist,178082178W
MLOps Engineer F/H,KPMG SA,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178083806W,2026-02-10,APEC,Data Scientist,178083806W
Data Engineer F/H,CONSTENCIA,,,45 - 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177886224W,2026-02-10,APEC,Data Scientist,177886224W
AI Scientist – Modèles Tabulaires F/H,BLUETHINK,,,100 - 130 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177854060W,2026-02-10,APEC,Data Scientist,177854060W
Lead Data Engineer F/H,SKIILS,,,55 - 70 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178090240W,2026-02-10,APEC,Data Scientist,178090240W
Chef de projet Data Lake F/H,RANDSTAD DIGITAL FRANCE,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178042009W,2026-02-10,APEC,Data Scientist,178042009W
Lead Data Engineer F/H,BLUETHINK,,,50 - 85 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178076802W,2026-02-10,APEC,Data Scientist,178076802W
Product Owner Data - IA F/H,Hellowork,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178097596W,2026-02-10,APEC,Data Scientist,178097596W
Data Engineer Senior F/H,Norsys,,,45 - 50 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177977527W,2026-02-10,APEC,Data Scientist,177977527W
Gestionnaire de données F/H,LIZEO EUROPE,,,25 - 28 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178074094W,2026-02-10,APEC,Data Scientist,178074094W
Ingénieur Data /BI F/H,DATA INSIGHT,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177682361W,2026-02-10,APEC,Data Scientist,177682361W
Ingénieur Data /BI F/H,DATA INSIGHT,,,A négocier,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/177464525W,2026-02-10,APEC,Data Scientist,177464525W
Consultant Data F/H,HEADMIND PARTNERS,,,40 - 42 k€ brut annuel,,https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/178033564W,2026-02-10,APEC,Data Scientist,178033564W
